file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,147,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,50
style.css,148,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,46
style.css,149,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,74
style.css,150,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,40
style.css,151,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,68
style.css,152,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,84
style.css,153,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,43
style.css,154,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,78
style.css,155,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,156,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,157,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,41
style.css,158,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,16
style.css,159,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,20
style.css,160,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,61
style.css,161,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,97
style.css,162,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,42
style.css,163,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,164,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,165,css,50da54ca,efastovsky,2025-01-24,18:38:53,-08:00,2025-01-24T18:38:53-08:00,0,30
style.css,166,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,14
style.css,167,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,51
style.css,168,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,44
style.css,169,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,170,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,0
style.css,171,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,26
style.css,172,css,6b565e2a,efastovsky,2025-01-17,16:47:25,-08:00,2025-01-17T16:47:25-08:00,0,12
style.css,173,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,59
style.css,174,css,a69101d0,efastovsky,2025-01-31,11:04:29,-08:00,2025-01-31T11:04:29-08:00,0,46
